Dates,FXY,FXE,FXC,FXF,FXB,FXA,FXS
1/4/2010,107.18,143.86,95.72,96.64,160.57,91.29,141.27
1/5/2010,108.24,143.46,95.95,96.3,159.52,91.2,140.18
1/6/2010,107.4,143.89,96.5365,96.87,159.75,92.03,141.16
1/7/2010,106.47,142.97,96.31,96.3501,158.9378,91.85,140.01
1/8/2010,107.12,143.91,96.66,97.27,159.84,92.48,140.822
1/11/2010,107.73,144.94,96.46,98.01,160.59,93.25,141.86
1/12/2010,109.08,144.65,95.8979,97.74,161.17,92.1,141.06
1/13/2010,108.51,144.83,96.72,97.75,162.38,92.54,141.878
1/14/2010,108.9,144.76,97.4,97.7,162.79,93.27,142.1701
1/15/2010,109.18,143.55,96.82,96.94,162.13,92.45,140.77
1/19/2010,108.87,142.78,96.71,96.44,163.33,92.65,140.41
1/20/2010,108.75,140.78,95.18,95.29,162.35,91,138.45
1/21/2010,109.79,140.7,94.75,95.52,161.49,90.37,137.7799
1/22/2010,110.4,141.14,94.18,95.558,160.63,90.28,137.66
1/25/2010,109.96,141.26,94.16,95.69,161.89,90.71,137.96
1/26/2010,110.7,140.55,93.77,95.12,160.93,90.07,137.2
1/27/2010,110.2,139.96,93.57,94.77,161.18,89.62,136.41
1/28/2010,110.4,139.46,93.43,94.61,160.78,89.71,135.81
1/29/2010,109.96,138.39,93.19,93.81,159.34,88.71,134.99
2/1/2010,109.44,139.05,93.8,94.24,159.1,89.15,137.318
2/2/2010,109.79,139.38,94.19,94.303,159.3,88.71,137.53
2/3/2010,109.04,138.71,93.75,93.98,158.49,88.31,137.061
2/4/2010,111.6,137.16,92.86,93.3999,157.04,86.48,134.14
2/5/2010,111,136.4,93.06,92.75,155.83,86.75,133.47
2/8/2010,111.07,136.37,92.72,92.77,155.5,86.5,134.15
2/9/2010,110.73,137.52,93.3,93.43,156.51,87.86,135.93
2/10/2010,110.26,137.06,93.72,93.13,155.33,87.61,136.27
2/11/2010,110.59,136.59,94.78,92.88,156.45,89.18,137.83
2/12/2010,110.22,135.87,94.71,92.42,156.18,88.76,137.39
2/16/2010,110.05,137.41,95.47,93.3,157.37,90.31,139.02
2/17/2010,108.78,135.82,95.31,92.31,156.31,90.13,138.21
2/18/2010,108.67,135.86,95.66,92.31,155.67,90.37,138.54
2/19/2010,108.28,135.65,95.73,92.34,154,89.99,138.04
2/22/2010,108.89,135.7,95.54,92.47,154.28,90.17,138.58
2/23/2010,110.02,134.75,94.25,91.723,153.57,89.01,137.045
2/24/2010,109.99,135.05,94.49,92.01,153.46,89.5,138.05
2/25/2010,111.35,135.27,94.06,92.14,152.18,89.11,138.828
2/26/2010,111.65,135.85,94.7,92.61,151.97,89.83,139.73
3/1/2010,111.34,135.32,95.62,92.17,149.42,90.07,138.78
3/2/2010,111.83,135.82,96.13,92.53,149.11,90.39,138.9499
3/3/2010,112.2,136.65,96.51,93.17,150.47,90.59,139.81
3/4/2010,111.3,135.64,96.63,92.4,149.86,90.18,139.26
3/5/2010,109.75,135.91,96.66,92.59,150.92,90.85,140.05
3/8/2010,109.85,136,96.93,92.7,150.12,91,140.24
3/9/2010,110.23,135.71,97.04,92.48,149.42,91.49,139.76
3/10/2010,109.56,136.22,97.06,92.92,149.18,91.57,139.97
3/11/2010,109.54,136.48,97.21,93.07,150.12,91.62,140.31
3/12/2010,109.63,137.3,97.8,93.96,151.33,91.68,141.3001
3/15/2010,109.6,136.44,97.68,93.66,149.99,91.55,140.3514
3/16/2010,109.92,137.47,98.22,94.39,152.02,91.97,141.06
3/17/2010,109.88,137.11,98.59,94.37,152.73,92.4399,140.99
3/18/2010,109.77,135.8,98.24,94.04,151.85,92.3,139.962
3/19/2010,109.54,135.06,97.96,93.82,149.64,91.77,138.9815
3/22/2010,110.01,135.21,97.75,93.99,150.4,91.94,138.46
3/23/2010,109.67,134.67,98.02,94.05,149.95,92.1199,138.55
3/24/2010,107.59,132.94,97.12,92.69,148.28,91.02,137.17
3/25/2010,106.94,132.52,97.18,92.6426,147.61,90.96,136.97
3/26/2010,107.21,133.8,97,93.34,148.47,90.57,137.29
3/29/2010,107.25,134.46,97.57,93.61,149.32,91.92,137.134
3/30/2010,106.85,133.83,97.66,93.244,150.16,92.04,137.35
3/31/2010,106.05,134.73,98.07,94.37,151.31,92.04,138
4/1/2010,105.6,135.51,98.75,94.36,152.34,92.09,139.11
4/5/2010,105.13,134.48,99.29,93.61,152.28,92.11,138.91
4/6/2010,105.8,133.73,99.43,93.0619,152.21,92.89,138.38
4/7/2010,106.28,133.22,99.07,92.63,151.9,92.84,137.54
4/8/2010,106.19,133.16,99.3,92.63,152.13,92.87,137.526
4/9/2010,106.4,134.58,99.16,93.32,153.25,93.41,138.37
4/12/2010,106.3,135.48,99.22,93.8,153.15,92.95,138.6753
4/13/2010,106.39,135.51,99.4,94.22,153.1,92.84,139.2001
4/14/2010,106.38,136.22,99.67,94.58,154.14,93.62,139.87
4/15/2010,106.53,135.47,99.22,94.17,154.42,93.52,139.355
4/16/2010,107.64,134.77,98.24,93.75,153.3,92.7,138.808
4/19/2010,107.29,134.51,98.07,93.52,152.82,92.45,138.864
4/20/2010,106.41,134.1,99.67,93.06,153.17,93.321,139.43
4/21/2010,106.34,133.65,99.65,92.91,153.52,93.02,138.66
4/22/2010,105.89,132.78,99.56,92.34,153.31,93.1,137.97
4/23/2010,105.44,133.37,99.65,92.61,153.21,92.89,138.86
4/26/2010,105.44,133.3,99.42,92.5581,153.99,92.92,139.21
4/27/2010,106.42,131.43,97.82,91.37,151.85,91.63,136.95
4/28/2010,105.32,131.63,98.67,91.56,151.34,92.72,136.47
4/29/2010,105.35,132.07,99.01,91.84,152.68,93.03,137.5199
4/30/2010,105.55,132.77,98,92.4,152.39,92.82,137.32
5/3/2010,104.79,131.61,98.53,91.59,151.84,92.664,137
5/4/2010,104.94,129.7,97.108,90.2,151.02,90.96,134.451
5/5/2010,105.73,127.86,96.68,88.93,150.41,90.56,131.42
5/6/2010,109.77,125.96,94.59,89.552,147.92,88.67,126.9002
5/7/2010,108.43,126.96,95.34,89.7,147.6199,88.71,129.562
5/10/2010,106.29,127.51,97.16,89.47,148.04,90.35,132.321
5/11/2010,106.86,126.45,97.43,89.55,148.97,89.71,131.33
5/12/2010,106.345,125.91,97.6,89.47,147.69,89.425,131.65
5/13/2010,106.86,124.95,97.53,88.95,145.57,89.72,130.19
5/14/2010,107.36,123.47,96.48,87.83,144.77,88.7,128.373
5/17/2010,107.12,123.48,96.28,87.84,144.2,87.84,129.245
5/18/2010,107.32,121.77,95.98,86.66,142.79,86.68,127.33
5/19/2010,108.32,123.5,95.31,86.35,143.54,84.7,127.2
5/20/2010,110.57,124.75,93.19,86.37,143.35,82.28,125.65
5/21/2010,110.09,125.36,93.94,86.51,144.27,83.32,127.735
5/24/2010,109.62,123.42,93.86,85.78,143.78,83.08,126.86
5/25/2010,109.93,122.98,93.01,85.94,143.43,82.67,124.795
5/26/2010,110.17,121.57,93.11,85.72,143.4301,82.53,124.32
5/27/2010,108.94,123.22,94.76,86.29,145.24,85.31,125
5/28/2010,108.98,122.37,94.59,85.75,144.02,84.9799,127.495
6/1/2010,108.85,122.03,94.41,85.9,145.88,83.34,127.104
6/2/2010,107.54,122.11,95.84,86.0689,145.96,84.246,127.2699
6/3/2010,106.95,121.22,95.5637,85.94,145.55,84.39,127.2001
6/4/2010,108.07,119.28,93.81,85.54,144.11,82.25,124.83
6/7/2010,108.2,118.8,93.84,85.41,144.07,81.1001,122.6725
6/8/2010,108.44,119.12,94.9,86.23,143.68,82.84,122.742
6/9/2010,108.66,119.52,95.28,86.6,144.72,82.83,124.001
6/10/2010,108.51,121.05,96.48,87,146.53,85.15,125.96
6/11/2010,108.04,120.57,96.26,86.38,144.65,85.16,125.509
6/14/2010,108.31,121.89,96.33,86.96,146.83,85.9999,126.52
6/15/2010,108.4,123.07,97.04,87.82,147.58,86.73,128.3
6/16/2010,108.42,122.625,97.1,87.95,147.03,86.51,127.8899
6/17/2010,108.92,123.49,96.89,89.42,147.52,86.94,128.34
6/18/2010,109.17,123.36,97.42,89.63,147.6,87.16,128.335
6/21/2010,108.855,122.78,97.11,89.3,146.94,87.89,128.37
6/22/2010,109.65,122.38,96.68,89.77,147.44,87.42,126.3701
6/23/2010,110.22,122.69,95.81,89.93,148.89,87.52,128.235
6/24/2010,110.7,122.86,95.325,90.1,148.59,86.81,127.75
6/25/2010,111,123.44,96.07,90.94,149.99,87.76,128.44
6/28/2010,110.82,122.33,96.07,91.41,150.47,87.45,128.78
6/29/2010,111.87,121.56,94.28,91.92,150.14,85.17,127.665
6/30/2010,112.09,121.87,93.44,92.2,148.78,84.37,127.66
7/1/2010,113.13,124.77,93.83,93.8089,151.16,84.35,129.71
7/2/2010,112.86,125.08,93.62,93.3,151.31,84.31,131.14
7/6/2010,113.19,125.8,94.23,93.775,150.76,85.16,130.5801
7/7/2010,112.85,126.01,94.9,94.51,151.24,86.63,131.538
7/8/2010,112.09,126.5,95.29,94.65,150.94,87.7126,132.09
7/9/2010,111.74,126,96.24,94.0719,150.02,87.8434,132.77
7/12/2010,111.77,125.48,95.85,93.655,149.67,87.625,132.6
7/13/2010,111.98,126.73,96.22,94.18,150.94,88.1,134.27
7/14/2010,112.2,126.97,96.19,94.32,151.88,88.44,135.09
7/15/2010,113.28,128.91,95.75,95.36,153.8,88.55,136.476
7/16/2010,114.29,128.82,94.3,94.47,152.31,87.14,135.986
7/19/2010,114.04,128.98,94.29,94.1301,151.69,87.21,135.236
7/20/2010,113.25,128.49,95.17,94.35,152.16,88.52,134.83
7/21/2010,113.8,127.27,94.89,94.59,150.99,87.99,134.19
7/22/2010,113.955,128.42,95.66,95.26,151.98,89.5501,135.9
7/23/2010,113.36,128.72,95.97,94.28,153.54,89.92,136.16
7/26/2010,113.96,129.51,96.315,94.75,154.12,90.55,136.3
7/27/2010,112.595,129.58,95.95,93.7,155.21,90.47,136.61
7/28/2010,113.23,129.44,95.77,94.0089,155.18,89.45,136.49
7/29/2010,114.02,130.31,95.97,95.39,155.4,90.34,138.08
7/30/2010,114.6,129.88,96.73,95.3799,156.15,90.81,138.21
8/2/2010,114.5,131.26,97.16,95.53,158.15,91.287,140.2
8/3/2010,115.39,131.87,97.13,95.58,158.73,91.28,140.3201
8/4/2010,114.78,131.18,97.71,94.3489,158.22,91.78,139.54
8/5/2010,115.37,131.46,97.8,94.9674,158.18,91.56,139.78
8/6/2010,115.96,132.45,96.77,95.7101,158.95,91.98,140.7
8/9/2010,115.29,131.83,96.86,94.68,158.36,91.75,140.38
8/10/2010,116.01,131.39,96.325,94.76,157.75,91.4,139.021
