,XLC US Equity,XLY US Equity,XLP US Equity,XLE US Equity,XLF US Equity,XLV US Equity,XLI US Equity,XLK US Equity,IYZ US Equity,XLB US Equity,XLU US Equity,USRT US Equity,AGG US Equity,LQD US Equity,HYG US Equity,TIP US Equity,EMB US Equity,GLD US Equity,DBC US Equity,DBA US Equity
12/19/07,#N/A N/A,32.95,28.93,76.53,23.7353,35.57,38.73,26.42,29.03,40.86,43.05,39.27,101.27,105.28,102.1,105.86,101.22,79.24,30.68,32.19
12/20/07,#N/A N/A,33.11,28.8,77.5,23.5647,35.78,39.05,26.8,29.63,41.61,43.24,39.41,101.18,104.77,101.88,105.74,101.26,78.67,30.55,32.38
12/21/07,#N/A N/A,32.94,29.34,79.3,23.784,35.87,39.55,27.02,30.26,42.11,43,39.89,100.74,104.66,102.2,105.1,101.15,80.1,30.91,32.8
12/24/07,#N/A N/A,33.55,29.3,79.66,24.2144,35.99,39.99,27.22,30.37,42.5,43.21,40.85,100.77,104.13,101.8399,104.78,101.33,80.14,31.14,33.26
12/25/07,#N/A N/A,33.55,29.3,79.66,24.2144,35.99,39.99,27.22,30.37,42.5,43.21,40.85,100.77,104.13,101.8399,104.78,101.33,80.14,31.14,33.26
12/26/07,#N/A N/A,33.44,29.2,80.55,24.0438,35.95,39.84,27.37,30.49,42.72,42.99,40.85,100.46,104.16,101.39,104.32,101.41,81.52,31.51,33.54
12/27/07,#N/A N/A,32.97,28.92,79.7,23.5566,35.58,39.38,26.99,29.86,41.92,42.61,39.3099,100.6,104.312,101.49,104.48,101.17,81.56,31.62,33.22
12/28/07,#N/A N/A,32.82,29.03,80.37,23.4998,35.44,39.34,26.86,29.85,41.95,42.92,38.91,101.14,104.64,100.5,105.11,101.21,83,31.52,32.99
12/31/07,#N/A N/A,32.7,28.8,79.35,23.4917,35.31,39.16,26.66,29.52,41.7,42.33,39.1399,101.17,104.84,100.72,105.8,101.35,82.46,31.56,32.99
1/1/08,#N/A N/A,32.7,28.8,79.35,23.4917,35.31,39.16,26.66,29.52,41.7,42.33,39.1399,101.17,104.84,100.72,105.8,101.35,82.46,31.56,32.99
1/2/08,#N/A N/A,32.2,28.39,79.5,23.0288,34.94,38.51,26.12,29.17,41.3,42.09,39.1399,101.6499,106.08,99.5,106.64,101.49,84.86,32.43,33.43
1/3/08,#N/A N/A,31.84,28.24,80.44,22.8827,35.15,38.54,26.16,29,42.05,42.03,37.68,101.92,105.73,99.31,107,101.67,85.57,32.68,34.22
1/4/08,#N/A N/A,30.84,28.12,77.5,22.233,34.79,37.75,25.14,28.35,40.78,42.35,36.2301,102.13,106.6,99.2,106.97,101.72,85.13,32.49,34.58
1/7/08,#N/A N/A,30.95,28.45,77.2,22.2899,35.48,37.28,24.92,28.66,40.22,43.23,36.3122,102.01,106.47,98.61,106.95,101.95,84.77,31.9,34.12
1/8/08,#N/A N/A,30.35,28.24,75.85,21.4779,35.77,36.45,24.26,27.64,39.6,43.24,35.23,102.52,106.27,98.04,107.03,102.1968,86.78,32.19,34.5
1/9/08,#N/A N/A,30.57,28.62,76.85,21.8839,36.41,36.56,24.6,27.6,39.85,43.71,34.56,102.28,106.05,96.97,106.95,102.12,86.5499,31.87,34.36
